"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Dallas County, AL"	"01047"	11	941217	Unreliable
	"Jefferson County, AL"	"01073"	48	14487047	0.3
	"Madison County, AL"	"01089"	19	7192406	Unreliable
	"Mobile County, AL"	"01097"	30	8975224	0.3
	"Montgomery County, AL"	"01101"	28	4973622	0.6
	"Shelby County, AL"	"01117"	10	4120429	Unreliable
	"Tuscaloosa County, AL"	"01125"	13	4168834	Unreliable
	"Anchorage Borough, AK"	"02020"	10	6247630	Unreliable
	"Apache County, AZ"	"04001"	17	1551691	Unreliable
	"Coconino County, AZ"	"04005"	10	2899465	Unreliable
	"Maricopa County, AZ"	"04013"	198	83652934	0.2
	"Mohave County, AZ"	"04015"	13	4237864	Unreliable
	"Navajo County, AZ"	"04017"	11	2325881	Unreliable
	"Pima County, AZ"	"04019"	48	21113711	0.2
	"Pinal County, AZ"	"04021"	20	7247174	0.3
	"Benton County, AR"	"05007"	16	4765961	Unreliable
	"Craighead County, AR"	"05031"	10	2106094	Unreliable
	"Jefferson County, AR"	"05069"	12	1678529	Unreliable
	"Pulaski County, AR"	"05119"	50	8350216	0.6
	"Washington County, AR"	"05143"	18	4420334	Unreliable
	"Alameda County, CA"	"06001"	91	33754012	0.3
	"Butte County, CA"	"06007"	12	4785059	Unreliable
	"Contra Costa County, CA"	"06013"	44	23152448	0.2
	"Fresno County, CA"	"06019"	48	20104141	0.2
	"Kern County, CA"	"06029"	59	17779879	0.3
	"Kings County, CA"	"06031"	12	3221880	Unreliable
	"Los Angeles County, CA"	"06037"	550	216959825	0.3
	"Madera County, CA"	"06039"	11	3198671	Unreliable
	"Merced County, CA"	"06047"	22	5518716	0.4
	"Monterey County, CA"	"06053"	21	9189660	0.2
	"Orange County, CA"	"06059"	97	66552938	0.1
	"Placer County, CA"	"06061"	12	7411284	Unreliable
	"Riverside County, CA"	"06065"	110	46163400	0.2
	"Sacramento County, CA"	"06067"	80	31037296	0.3
	"San Bernardino County, CA"	"06071"	136	43974051	0.3
	"San Diego County, CA"	"06073"	139	68019091	0.2
	"San Francisco County, CA"	"06075"	29	17921296	0.2
	"San Joaquin County, CA"	"06077"	45	14915373	0.3
	"San Mateo County, CA"	"06081"	22	15976409	0.1
	"Santa Barbara County, CA"	"06083"	16	9317579	Unreliable
	"Santa Clara County, CA"	"06085"	62	39356166	0.2
	"Santa Cruz County, CA"	"06087"	13	5774836	Unreliable
	"Solano County, CA"	"06095"	21	9225868	0.2
	"Sonoma County, CA"	"06097"	23	10579646	0.2
	"Stanislaus County, CA"	"06099"	31	11230471	0.3
	"Tulare County, CA"	"06107"	39	9425017	0.4
